,Title,urls,Difficulty,Tags,Acceptance,Submission,Acceptance_Rate,Likes,Dislikes
531,677. Map Sum Pairs,/problems/map-sum-pairs,Medium,"['Hash Table', 'String', 'Design', 'Trie']",54360,100104,54.3%,702,96
532,678. Valid Parenthesis String,/problems/valid-parenthesis-string,Medium,"['String', 'Dynamic Programming', 'Stack', 'Greedy']",139041,433942,32.0%,2535,69
533,679. 24 Game,/problems/24-game,Hard,"['Array', 'Math', 'Backtracking']",52324,109918,47.6%,963,191
534,680. Valid Palindrome II,/problems/valid-palindrome-ii,Easy,"['Two Pointers', 'String', 'Greedy']",289220,773050,37.4%,2876,182
535,682. Baseball Game,/problems/baseball-game,Easy,"['Array', 'Stack', 'Simulation']",121828,178938,68.0%,788,1258
536,684. Redundant Connection,/problems/redundant-connection,Medium,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",155543,259730,59.9%,2628,265
537,685. Redundant Connection II,/problems/redundant-connection-ii,Hard,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",44847,134863,33.2%,1204,252
538,686. Repeated String Match,/problems/repeated-string-match,Medium,"['String', 'String Matching']",109420,331484,33.0%,1102,856
539,687. Longest Univalue Path,/problems/longest-univalue-path,Medium,"['Tree', 'Depth-First Search', 'Binary Tree']",120030,315341,38.0%,2465,569
540,688. Knight Probability in Chessboard,/problems/knight-probability-in-chessboard,Medium,['Dynamic Programming'],65030,127932,50.8%,1441,249
541,689. Maximum Sum of 3 Non-Overlapping Subarrays,/problems/maximum-sum-of-3-non-overlapping-subarrays,Hard,"['Array', 'Dynamic Programming']",55931,117221,47.7%,1325,86
542,690. Employee Importance,/problems/employee-importance,Easy,"['Hash Table', 'Depth-First Search', 'Breadth-First Search']",130128,216015,60.1%,1170,980
543,691. Stickers to Spell Word,/problems/stickers-to-spell-word,Hard,"['Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Bitmask']",23276,50764,45.8%,561,55
544,692. Top K Frequent Words,/problems/top-k-frequent-words,Medium,"['Hash Table', 'String', 'Trie', 'Sorting', 'Heap (Priority Queue)', 'Bucket Sort', 'Counting']",297053,554709,53.5%,3283,212
545,693. Binary Number with Alternating Bits,/problems/binary-number-with-alternating-bits,Easy,['Bit Manipulation'],78941,130916,60.3%,693,95
546,695. Max Area of Island,/problems/max-area-of-island,Medium,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']",297476,445069,66.8%,3794,114
547,696. Count Binary Substrings,/problems/count-binary-substrings,Easy,"['Two Pointers', 'String']",85237,138258,61.6%,1805,306
548,697. Degree of an Array,/problems/degree-of-an-array,Easy,"['Array', 'Hash Table']",116759,213012,54.8%,1456,1014
549,698. Partition to K Equal Sum Subsets,/problems/partition-to-k-equal-sum-subsets,Medium,"['Array', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Memoization', 'Bitmask']",136096,302006,45.1%,3295,203
550,699. Falling Squares,/problems/falling-squares,Hard,"['Array', 'Segment Tree', 'Ordered Set']",16945,39002,43.4%,356,66
551,700. Search in a Binary Search Tree,/problems/search-in-a-binary-search-tree,Easy,"['Tree', 'Binary Search Tree', 'Binary Tree']",302021,409498,73.7%,1620,135
594,752. Open the Lock,/problems/open-the-lock,Medium,"['Array', 'Hash Table', 'String', 'Breadth-First Search']",122658,224093,54.7%,2094,72
595,753. Cracking the Safe,/problems/cracking-the-safe,Hard,"['Depth-First Search', 'Graph', 'Eulerian Circuit']",38557,72767,52.9%,596,873
596,754. Reach a Number,/problems/reach-a-number,Medium,"['Math', 'Binary Search']",32356,79438,40.7%,762,560
597,756. Pyramid Transition Matrix,/problems/pyramid-transition-matrix,Medium,"['Bit Manipulation', 'Depth-First Search', 'Breadth-First Search']",24866,44437,55.9%,392,393
598,757. Set Intersection Size At Least Two,/problems/set-intersection-size-at-least-two,Hard,"['Array', 'Greedy', 'Sorting']",13382,31281,42.8%,376,47
599,761. Special Binary String,/problems/special-binary-string,Hard,"['String', 'Recursion']",11745,19836,59.2%,438,147
600,762. Prime Number of Set Bits in Binary Representation,/problems/prime-number-of-set-bits-in-binary-representation,Easy,"['Math', 'Bit Manipulation']",58056,89119,65.1%,351,413
601,763. Partition Labels,/problems/partition-labels,Medium,"['Hash Table', 'Two Pointers', 'String', 'Greedy']",271572,347051,78.3%,4979,203
602,764. Largest Plus Sign,/problems/largest-plus-sign,Medium,"['Array', 'Dynamic Programming']",27164,57638,47.1%,643,130
603,765. Couples Holding Hands,/problems/couples-holding-hands,Hard,"['Greedy', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",36078,64546,55.9%,1201,73
604,766. Toeplitz Matrix,/problems/toeplitz-matrix,Easy,"['Array', 'Matrix']",134213,203126,66.0%,1475,97
605,767. Reorganize String,/problems/reorganize-string,Medium,"['Hash Table', 'String', 'Greedy', 'Sorting', 'Heap (Priority Queue)', 'Counting']",153696,302943,50.7%,3219,151
606,768. Max Chunks To Make Sorted II,/problems/max-chunks-to-make-sorted-ii,Hard,"['Array', 'Stack', 'Greedy', 'Sorting', 'Monotonic Stack']",28517,56621,50.4%,672,25
607,769. Max Chunks To Make Sorted,/problems/max-chunks-to-make-sorted,Medium,"['Array', 'Stack', 'Greedy', 'Sorting', 'Monotonic Stack']",52367,93013,56.3%,1185,148
608,770. Basic Calculator IV,/problems/basic-calculator-iv,Hard,"['Hash Table', 'Math', 'String', 'Stack', 'Recursion']",6830,12519,54.6%,95,925
609,771. Jewels and Stones,/problems/jewels-and-stones,Easy,"['Hash Table', 'String']",649734,744892,87.2%,2835,434
610,773. Sliding Puzzle,/problems/sliding-puzzle,Hard,"['Array', 'Breadth-First Search', 'Matrix']",56972,92179,61.8%,1066,32
611,775. Global and Local Inversions,/problems/global-and-local-inversions,Medium,"['Array', 'Math']",50115,109027,46.0%,882,270
612,777. Swap Adjacent in LR String,/problems/swap-adjacent-in-lr-string,Medium,"['Two Pointers', 'String']",40287,112629,35.8%,582,533
613,778. Swim in Rising Water,/problems/swim-in-rising-water,Hard,"['Array', 'Binary Search', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Heap (Priority Queue)', 'Matrix']",51446,89188,57.7%,1297,99
614,779. K-th Symbol in Grammar,/problems/k-th-symbol-in-grammar,Medium,"['Math', 'Bit Manipulation', 'Recursion']",59487,152116,39.1%,1026,212
615,780. Reaching Points,/problems/reaching-points,Hard,['Math'],33532,109734,30.5%,793,134
616,781. Rabbits in Forest,/problems/rabbits-in-forest,Medium,"['Hash Table', 'Math', 'Greedy']",28587,50895,56.2%,468,405
617,782. Transform to Chessboard,/problems/transform-to-chessboard,Hard,"['Array', 'Math', 'Bit Manipulation', 'Matrix']",6911,14683,47.1%,158,161
618,783. Minimum Distance Between BST Nodes,/problems/minimum-distance-between-bst-nodes,Easy,"['Tree', 'Depth-First Search', 'Breadth-First Search', 'Binary Search Tree', 'Binary Tree']",96321,176062,54.7%,1183,270
619,784. Letter Case Permutation,/problems/letter-case-permutation,Medium,"['String', 'Backtracking', 'Bit Manipulation']",148929,214850,69.3%,2239,127
620,785. Is Graph Bipartite?,/problems/is-graph-bipartite,Medium,"['Depth-First Search', 'Breadth-First Search', 'Union Find', 'Graph']",213575,434416,49.1%,2909,240
621,786. K-th Smallest Prime Fraction,/problems/k-th-smallest-prime-fraction,Hard,"['Array', 'Binary Search', 'Heap (Priority Queue)']",20625,45613,45.1%,563,33
622,787. Cheapest Flights Within K Stops,/problems/cheapest-flights-within-k-stops,Medium,"['Dynamic Programming', 'Depth-First Search', 'Breadth-First Search', 'Graph', 'Heap (Priority Queue)', 'Shortest Path']",162587,426986,38.2%,3347,126
623,788. Rotated Digits,/problems/rotated-digits,Easy,"['Math', 'Dynamic Programming']",71534,124608,57.4%,465,1566
624,789. Escape The Ghosts,/problems/escape-the-ghosts,Medium,"['Array', 'Math']",18093,30713,58.9%,240,381
625,790. Domino and Tromino Tiling,/problems/domino-and-tromino-tiling,Medium,['Dynamic Programming'],20953,51317,40.9%,608,315
626,791. Custom Sort String,/problems/custom-sort-string,Medium,"['Hash Table', 'String', 'Sorting']",121655,181532,66.1%,1390,246
627,792. Number of Matching Subsequences,/problems/number-of-matching-subsequences,Medium,"['Hash Table', 'String', 'Trie', 'Sorting']",88135,180137,48.9%,1994,114
628,793. Preimage Size of Factorial Zeroes Function,/problems/preimage-size-of-factorial-zeroes-function,Hard,"['Math', 'Binary Search']",10143,24898,40.6%,238,64
629,794. Valid Tic-Tac-Toe State,/problems/valid-tic-tac-toe-state,Medium,"['Array', 'String']",36308,105502,34.4%,295,814
630,795. Number of Subarrays with Bounded Maximum,/problems/number-of-subarrays-with-bounded-maximum,Medium,"['Array', 'Two Pointers']",43054,83186,51.7%,1238,79
631,796. Rotate String,/problems/rotate-string,Easy,"['String', 'String Matching']",106963,218896,48.9%,1227,72
632,797. All Paths From Source to Target,/problems/all-paths-from-source-to-target,Medium,"['Backtracking', 'Depth-First Search', 'Breadth-First Search', 'Graph']",151354,191712,78.9%,2305,99
633,798. Smallest Rotation with Highest Score,/problems/smallest-rotation-with-highest-score,Hard,"['Array', 'Prefix Sum']",7472,16219,46.0%,278,18
634,799. Champagne Tower,/problems/champagne-tower,Medium,['Dynamic Programming'],35265,79659,44.3%,857,62
635,801. Minimum Swaps To Make Sequences Increasing,/problems/minimum-swaps-to-make-sequences-increasing,Hard,"['Array', 'Dynamic Programming']",45073,116201,38.8%,1654,119
636,802. Find Eventual Safe States,/problems/find-eventual-safe-states,Medium,"['Depth-First Search', 'Breadth-First Search', 'Graph', 'Topological Sort']",57237,113016,50.6%,1318,252
637,803. Bricks Falling When Hit,/problems/bricks-falling-when-hit,Hard,"['Array', 'Union Find', 'Matrix']",19122,59175,32.3%,590,155
638,804. Unique Morse Code Words,/problems/unique-morse-code-words,Easy,"['Array', 'Hash Table', 'String']",191063,241119,79.2%,978,884
639,805. Split Array With Same Average,/problems/split-array-with-same-average,Hard,"['Array', 'Math', 'Dynamic Programming', 'Bit Manipulation', 'Bitmask']",20989,78508,26.8%,581,98
640,806. Number of Lines To Write String,/problems/number-of-lines-to-write-string,Easy,"['Array', 'String']",45552,69375,65.7%,313,1014
641,807. Max Increase to Keep City Skyline,/problems/max-increase-to-keep-city-skyline,Medium,"['Array', 'Greedy', 'Matrix']",105896,124986,84.7%,1246,357
642,808. Soup Servings,/problems/soup-servings,Medium,"['Math', 'Dynamic Programming', 'Probability and Statistics']",12744,30644,41.6%,213,652
643,809. Expressive Words,/problems/expressive-words,Medium,"['Array', 'Two Pointers', 'String']",69953,151709,46.1%,489,1193
644,810. Chalkboard XOR Game,/problems/chalkboard-xor-game,Hard,"['Array', 'Math', 'Bit Manipulation', 'Brainteaser', 'Game Theory']",5417,10598,51.1%,88,215
645,811. Subdomain Visit Count,/problems/subdomain-visit-count,Easy,"['Array', 'Hash Table', 'String']",131394,181705,72.3%,764,937
646,812. Largest Triangle Area,/problems/largest-triangle-area,Easy,"['Array', 'Math', 'Geometry']",27402,46227,59.2%,267,1173
647,813. Largest Sum of Averages,/problems/largest-sum-of-averages,Medium,"['Array', 'Dynamic Programming']",34158,66118,51.6%,1304,64
648,814. Binary Tree Pruning,/problems/binary-tree-pruning,Medium,"['Tree', 'Depth-First Search', 'Binary Tree']",94168,131547,71.6%,1581,58
649,815. Bus Routes,/problems/bus-routes,Hard,"['Array', 'Hash Table', 'Breadth-First Search']",53674,121891,44.0%,1242,38
650,816. Ambiguous Coordinates,/problems/ambiguous-coordinates,Medium,"['String', 'Backtracking']",23962,43055,55.7%,223,536
651,817. Linked List Components,/problems/linked-list-components,Medium,"['Hash Table', 'Linked List']",59433,102684,57.9%,549,1501
652,818. Race Car,/problems/race-car,Hard,['Dynamic Programming'],26481,64772,40.9%,706,75
653,819. Most Common Word,/problems/most-common-word,Easy,"['Hash Table', 'String']",241066,530829,45.4%,1019,2187
654,820. Short Encoding of Words,/problems/short-encoding-of-words,Medium,"['Array', 'Hash Table', 'String', 'Trie']",41821,76093,55.0%,614,231
655,821. Shortest Distance to a Character,/problems/shortest-distance-to-a-character,Easy,"['Array', 'Two Pointers', 'String']",111978,159159,70.3%,1718,111
656,822. Card Flipping Game,/problems/card-flipping-game,Medium,"['Array', 'Hash Table']",11381,25875,43.9%,90,554
657,823. Binary Trees With Factors,/problems/binary-trees-with-factors,Medium,"['Array', 'Hash Table', 'Dynamic Programming']",33445,76599,43.6%,711,94
658,824. Goat Latin,/problems/goat-latin,Easy,['String'],123256,183688,67.1%,557,980
659,825. Friends Of Appropriate Ages,/problems/friends-of-appropriate-ages,Medium,"['Array', 'Two Pointers', 'Binary Search', 'Sorting']",51139,114576,44.6%,432,870
660,826. Most Profit Assigning Work,/problems/most-profit-assigning-work,Medium,"['Array', 'Two Pointers', 'Binary Search', 'Greedy', 'Sorting']",28118,70942,39.6%,576,87
661,827. Making A Large Island,/problems/making-a-large-island,Hard,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']",40498,86857,46.7%,907,26
662,828. Count Unique Characters of All Substrings of a Given String,/problems/count-unique-characters-of-all-substrings-of-a-given-string,Hard,"['String', 'Dynamic Programming']",16697,35628,46.8%,684,69
663,829. Consecutive Numbers Sum,/problems/consecutive-numbers-sum,Hard,"['Math', 'Enumeration']",49367,125082,39.4%,670,838
664,830. Positions of Large Groups,/problems/positions-of-large-groups,Easy,['String'],60466,119179,50.7%,522,106
665,831. Masking Personal Information,/problems/masking-personal-information,Medium,['String'],12687,28264,44.9%,99,368
666,832. Flipping an Image,/problems/flipping-an-image,Easy,"['Array', 'Two Pointers', 'Matrix', 'Simulation']",248618,315913,78.7%,1459,187
667,833. Find And Replace in String,/problems/find-and-replace-in-string,Medium,"['Array', 'String', 'Sorting']",67302,129657,51.9%,511,577
668,834. Sum of Distances in Tree,/problems/sum-of-distances-in-tree,Hard,"['Dynamic Programming', 'Tree', 'Depth-First Search', 'Graph']",22445,47164,47.5%,1458,49
669,835. Image Overlap,/problems/image-overlap,Medium,"['Array', 'Matrix']",44423,72331,61.4%,605,789
670,836. Rectangle Overlap,/problems/rectangle-overlap,Easy,"['Math', 'Geometry']",81009,189594,42.7%,1107,338
671,837. New 21 Game,/problems/new-21-game,Medium,"['Math', 'Dynamic Programming', 'Sliding Window', 'Probability and Statistics']",24821,69580,35.7%,769,469
672,838. Push Dominoes,/problems/push-dominoes,Medium,"['Two Pointers', 'String', 'Dynamic Programming']",30274,59759,50.6%,943,81
673,839. Similar String Groups,/problems/similar-string-groups,Hard,"['String', 'Depth-First Search', 'Breadth-First Search', 'Union Find']",39398,92155,42.7%,583,152
674,840. Magic Squares In Grid,/problems/magic-squares-in-grid,Medium,"['Array', 'Math', 'Matrix']",29365,77234,38.0%,208,1386
675,841. Keys and Rooms,/problems/keys-and-rooms,Medium,"['Depth-First Search', 'Breadth-First Search', 'Graph']",140329,209290,67.0%,2075,142
676,842. Split Array into Fibonacci Sequence,/problems/split-array-into-fibonacci-sequence,Medium,"['String', 'Backtracking']",26943,72397,37.2%,686,216
677,843. Guess the Word,/problems/guess-the-word,Hard,"['Array', 'Math', 'String', 'Interactive', 'Game Theory']",82617,181735,45.5%,882,928
678,844. Backspace String Compare,/problems/backspace-string-compare,Easy,"['Two Pointers', 'String', 'Stack', 'Simulation']",309187,654817,47.2%,2681,120
679,845. Longest Mountain in Array,/problems/longest-mountain-in-array,Medium,"['Array', 'Two Pointers', 'Dynamic Programming', 'Enumeration']",71539,183688,38.9%,1292,49
680,846. Hand of Straights,/problems/hand-of-straights,Medium,"['Array', 'Hash Table', 'Greedy', 'Sorting']",72903,130784,55.7%,1039,101
681,847. Shortest Path Visiting All Nodes,/problems/shortest-path-visiting-all-nodes,Hard,"['Dynamic Programming', 'Bit Manipulation', 'Breadth-First Search', 'Graph', 'Bitmask']",24862,45364,54.7%,954,91
682,848. Shifting Letters,/problems/shifting-letters,Medium,"['Array', 'String']",32533,71985,45.2%,444,76
683,849. Maximize Distance to Closest Person,/problems/maximize-distance-to-closest-person,Medium,['Array'],112992,252402,44.7%,1426,135
684,850. Rectangle Area II,/problems/rectangle-area-ii,Hard,"['Array', 'Segment Tree', 'Line Sweep', 'Ordered Set']",16202,33211,48.7%,494,34
685,851. Loud and Rich,/problems/loud-and-rich,Medium,"['Array', 'Depth-First Search', 'Graph', 'Topological Sort']",16462,30771,53.4%,376,375
686,852. Peak Index in a Mountain Array,/problems/peak-index-in-a-mountain-array,Easy,"['Array', 'Binary Search']",243700,340498,71.6%,1272,1428
687,853. Car Fleet,/problems/car-fleet,Medium,"['Array', 'Sorting']",50300,111984,44.9%,817,310
688,854. K-Similar Strings,/problems/k-similar-strings,Hard,"['String', 'Breadth-First Search']",25500,65925,38.7%,638,45
689,855. Exam Room,/problems/exam-room,Medium,"['Design', 'Ordered Set']",39837,91617,43.4%,772,315
690,856. Score of Parentheses,/problems/score-of-parentheses,Medium,"['String', 'Stack']",79777,122527,65.1%,2432,74
691,857. Minimum Cost to Hire K Workers,/problems/minimum-cost-to-hire-k-workers,Hard,"['Array', 'Greedy', 'Sorting', 'Heap (Priority Queue)']",41137,80698,50.9%,1302,156
